city_name,capital,city_lat,city_lon,city_id
Kabupaten Bandung,Soreang,-7.031365007,107.5224385,1
Kabupaten Bandung Barat,Ngamprah,-6.826235992,107.4938716,2
Kabupaten Bekasi,Cikarang Pusat,-6.358863165,107.1887604,3
Kabupaten Bogor,Cibinong,-6.491662202,106.8346445,4
Kabupaten Ciamis,Ciamis,-7.329756834,108.3330982,5
Kabupaten Cianjur,Cianjur,-6.816612442,107.1421484,6
Kabupaten Cirebon,Sumber,-6.750456199,108.4856602,7
Kabupaten Garut,Tarogong Kidul,-7.214945322,107.882931,8
Kabupaten Indramayu,Indramayu,-6.343786369,108.3334455,9
Kabupaten Karawang,Karawang Barat,-6.294957123,107.2896876,10
Kabupaten Kuningan,Kuningan,-6.980882331,108.4935267,11
Kabupaten Majalengka,Majalengka,-6.836321452,108.2292854,12
Kabupaten Pangandaran,Parigi,-7.654980913,108.5108704,13
Kabupaten Purwakarta,Purwakarta,-6.540307145,107.4445727,14
Kabupaten Subang,Subang,-6.555615944,107.7601632,15
Kabupaten Sukabumi,Palabuhanratu,-6.986573908,106.5452913,16
Kabupaten Sumedang,Sumedang Utara,-6.831949543,107.9198161,17
Kabupaten Tasikmalaya,Singaparna,-7.350411607,108.1230864,18
Kota Bandung,-,-6.916910422,107.6210123,19
Kota Banjar,-,-7.370779653,108.5323417,20
Kota Bekasi,-,-6.238557725,106.9714964,21
Kota Bogor,-,-6.597556652,106.8073153,22
Kota Cimahi,-,-6.884126767,107.5413789,23
Kota Cirebon,-,-6.731609458,108.5538663,24
Kota Depok,-,-6.404218916,106.7903278,25
Kota Sukabumi,-,-6.927298954,106.9329302,26
Kota Tasikmalaya,-,-7.352143039,108.2210762,27